ID,LAND,TID,INDHOLD,SITC
492,Brasilien,2019,10871,Mineralbrændstoffer og smøremidler
493,Brasilien,2020,6023,Mineralbrændstoffer og smøremidler
494,Brasilien,2021,5033,Mineralbrændstoffer og smøremidler
506,Britisk Oceanien,2018,0,Mineralbrændstoffer og smøremidler
507,Britisk Oceanien,2019,0,Mineralbrændstoffer og smøremidler
508,Britisk Oceanien,2020,0,Mineralbrændstoffer og smøremidler
509,Britisk Oceanien,2021,0,Mineralbrændstoffer og smøremidler
521,Britiske Jomfruøer,2018,0,Mineralbrændstoffer og smøremidler
522,Britiske Jomfruøer,2019,0,Mineralbrændstoffer og smøremidler
523,Britiske Jomfruøer,2020,0,Mineralbrændstoffer og smøremidler
524,Britiske Jomfruøer,2021,0,Mineralbrændstoffer og smøremidler
536,Britiske territorium i det Indiske Ocean,2018,0,Mineralbrændstoffer og smøremidler
537,Britiske territorium i det Indiske Ocean,2019,0,Mineralbrændstoffer og smøremidler
538,Britiske territorium i det Indiske Ocean,2020,0,Mineralbrændstoffer og smøremidler
539,Britiske territorium i det Indiske Ocean,2021,0,Mineralbrændstoffer og smøremidler
551,Brunei,2018,0,Mineralbrændstoffer og smøremidler
552,Brunei,2019,0,Mineralbrændstoffer og smøremidler
553,Brunei,2020,0,Mineralbrændstoffer og smøremidler
554,Brunei,2021,0,Mineralbrændstoffer og smøremidler
566,Bulgarien,2018,69835,Mineralbrændstoffer og smøremidler
567,Bulgarien,2019,45488,Mineralbrændstoffer og smøremidler
568,Bulgarien,2020,37091,Mineralbrændstoffer og smøremidler
569,Bulgarien,2021,34493,Mineralbrændstoffer og smøremidler
581,Burkina Faso,2018,24,Mineralbrændstoffer og smøremidler
582,Burkina Faso,2019,0,Mineralbrændstoffer og smøremidler
583,Burkina Faso,2020,1,Mineralbrændstoffer og smøremidler
584,Burkina Faso,2021,0,Mineralbrændstoffer og smøremidler
596,Burundi,2018,0,Mineralbrændstoffer og smøremidler
597,Burundi,2019,0,Mineralbrændstoffer og smøremidler
598,Burundi,2020,0,Mineralbrændstoffer og smøremidler
599,Burundi,2021,0,Mineralbrændstoffer og smøremidler
611,Cambodja,2018,0,Mineralbrændstoffer og smøremidler
612,Cambodja,2019,0,Mineralbrændstoffer og smøremidler
613,Cambodja,2020,0,Mineralbrændstoffer og smøremidler
614,Cambodja,2021,0,Mineralbrændstoffer og smøremidler
626,Cameroun,2018,0,Mineralbrændstoffer og smøremidler
627,Cameroun,2019,0,Mineralbrændstoffer og smøremidler
628,Cameroun,2020,0,Mineralbrændstoffer og smøremidler
629,Cameroun,2021,0,Mineralbrændstoffer og smøremidler
641,Canada,2018,168409,Mineralbrændstoffer og smøremidler
642,Canada,2019,14423,Mineralbrændstoffer og smøremidler
643,Canada,2020,12127,Mineralbrændstoffer og smøremidler
644,Canada,2021,12662,Mineralbrændstoffer og smøremidler
656,Caymanøerne,2018,0,Mineralbrændstoffer og smøremidler
657,Caymanøerne,2019,0,Mineralbrændstoffer og smøremidler
658,Caymanøerne,2020,0,Mineralbrændstoffer og smøremidler
659,Caymanøerne,2021,0,Mineralbrændstoffer og smøremidler
671,Centralafrikanske Republik,2018,0,Mineralbrændstoffer og smøremidler
672,Centralafrikanske Republik,2019,0,Mineralbrændstoffer og smøremidler
673,Centralafrikanske Republik,2020,0,Mineralbrændstoffer og smøremidler
674,Centralafrikanske Republik,2021,0,Mineralbrændstoffer og smøremidler
686,Ceuta,2018,0,Mineralbrændstoffer og smøremidler
687,Ceuta,2019,0,Mineralbrændstoffer og smøremidler
688,Ceuta,2020,0,Mineralbrændstoffer og smøremidler
689,Ceuta,2021,0,Mineralbrændstoffer og smøremidler
701,Chile,2018,703,Mineralbrændstoffer og smøremidler
702,Chile,2019,582,Mineralbrændstoffer og smøremidler
703,Chile,2020,214,Mineralbrændstoffer og smøremidler
704,Chile,2021,793,Mineralbrændstoffer og smøremidler
716,Cocosøerne,2018,0,Mineralbrændstoffer og smøremidler
717,Cocosøerne,2019,0,Mineralbrændstoffer og smøremidler
718,Cocosøerne,2020,0,Mineralbrændstoffer og smøremidler
719,Cocosøerne,2021,0,Mineralbrændstoffer og smøremidler
731,Colombia,2018,137361,Mineralbrændstoffer og smøremidler
732,Colombia,2019,89974,Mineralbrændstoffer og smøremidler
733,Colombia,2020,2,Mineralbrændstoffer og smøremidler
734,Colombia,2021,0,Mineralbrændstoffer og smøremidler
746,Comorerne,2018,0,Mineralbrændstoffer og smøremidler
747,Comorerne,2019,0,Mineralbrændstoffer og smøremidler
748,Comorerne,2020,0,Mineralbrændstoffer og smøremidler
749,Comorerne,2021,6,Mineralbrændstoffer og smøremidler
761,"Congo, Demokratiske Republik",2018,4,Mineralbrændstoffer og smøremidler
762,"Congo, Demokratiske Republik",2019,0,Mineralbrændstoffer og smøremidler
763,"Congo, Demokratiske Republik",2020,2,Mineralbrændstoffer og smøremidler
764,"Congo, Demokratiske Republik",2021,0,Mineralbrændstoffer og smøremidler
776,"Congo, Republikken",2018,0,Mineralbrændstoffer og smøremidler
777,"Congo, Republikken",2019,0,Mineralbrændstoffer og smøremidler
778,"Congo, Republikken",2020,0,Mineralbrændstoffer og smøremidler
779,"Congo, Republikken",2021,0,Mineralbrændstoffer og smøremidler
791,Cookøerne,2018,0,Mineralbrændstoffer og smøremidler
792,Cookøerne,2019,0,Mineralbrændstoffer og smøremidler
793,Cookøerne,2020,0,Mineralbrændstoffer og smøremidler
794,Cookøerne,2021,0,Mineralbrændstoffer og smøremidler
806,Costa Rica,2018,3,Mineralbrændstoffer og smøremidler
807,Costa Rica,2019,3,Mineralbrændstoffer og smøremidler
808,Costa Rica,2020,4,Mineralbrændstoffer og smøremidler
809,Costa Rica,2021,0,Mineralbrændstoffer og smøremidler
821,Cuba,2018,5,Mineralbrændstoffer og smøremidler
822,Cuba,2019,0,Mineralbrændstoffer og smøremidler
823,Cuba,2020,0,Mineralbrændstoffer og smøremidler
824,Cuba,2021,0,Mineralbrændstoffer og smøremidler
836,Curacao,2018,0,Mineralbrændstoffer og smøremidler
837,Curacao,2019,0,Mineralbrændstoffer og smøremidler
838,Curacao,2020,0,Mineralbrændstoffer og smøremidler
839,Curacao,2021,0,Mineralbrændstoffer og smøremidler
851,Cypern,2018,9585,Mineralbrændstoffer og smøremidler
852,Cypern,2019,1830,Mineralbrændstoffer og smøremidler
853,Cypern,2020,480,Mineralbrændstoffer og smøremidler
854,Cypern,2021,4134,Mineralbrændstoffer og smøremidler
866,DDR,2018,0,Mineralbrændstoffer og smøremidler
867,DDR,2019,0,Mineralbrændstoffer og smøremidler
868,DDR,2020,0,Mineralbrændstoffer og smøremidler
869,DDR,2021,0,Mineralbrændstoffer og smøremidler
881,Diskretioneret,2018,0,Mineralbrændstoffer og smøremidler
882,Diskretioneret,2019,0,Mineralbrændstoffer og smøremidler
883,Diskretioneret,2020,0,Mineralbrændstoffer og smøremidler
884,Diskretioneret,2021,0,Mineralbrændstoffer og smøremidler
896,Djibouti,2018,0,Mineralbrændstoffer og smøremidler
897,Djibouti,2019,0,Mineralbrændstoffer og smøremidler
898,Djibouti,2020,0,Mineralbrændstoffer og smøremidler
899,Djibouti,2021,23,Mineralbrændstoffer og smøremidler
911,Dominica,2018,0,Mineralbrændstoffer og smøremidler
912,Dominica,2019,0,Mineralbrændstoffer og smøremidler
913,Dominica,2020,0,Mineralbrændstoffer og smøremidler
914,Dominica,2021,4,Mineralbrændstoffer og smøremidler
926,Dominikanske Republik,2018,0,Mineralbrændstoffer og smøremidler
927,Dominikanske Republik,2019,7,Mineralbrændstoffer og smøremidler
928,Dominikanske Republik,2020,0,Mineralbrændstoffer og smøremidler
929,Dominikanske Republik,2021,1,Mineralbrændstoffer og smøremidler
941,Ecuador,2018,5,Mineralbrændstoffer og smøremidler
942,Ecuador,2019,4,Mineralbrændstoffer og smøremidler
943,Ecuador,2020,1,Mineralbrændstoffer og smøremidler
944,Ecuador,2021,4,Mineralbrændstoffer og smøremidler
956,Egypten,2018,2440,Mineralbrændstoffer og smøremidler
957,Egypten,2019,5289,Mineralbrændstoffer og smøremidler
958,Egypten,2020,2774,Mineralbrændstoffer og smøremidler
959,Egypten,2021,3327,Mineralbrændstoffer og smøremidler
971,El Salvador,2018,0,Mineralbrændstoffer og smøremidler
972,El Salvador,2019,0,Mineralbrændstoffer og smøremidler
973,El Salvador,2020,0,Mineralbrændstoffer og smøremidler
974,El Salvador,2021,4,Mineralbrændstoffer og smøremidler
986,Elfenbenskysten,2018,0,Mineralbrændstoffer og smøremidler
987,Elfenbenskysten,2019,0,Mineralbrændstoffer og smøremidler
988,Elfenbenskysten,2020,0,Mineralbrændstoffer og smøremidler
989,Elfenbenskysten,2021,0,Mineralbrændstoffer og smøremidler
1001,Eritrea,2018,0,Mineralbrændstoffer og smøremidler
1002,Eritrea,2019,0,Mineralbrændstoffer og smøremidler
1003,Eritrea,2020,0,Mineralbrændstoffer og smøremidler
1004,Eritrea,2021,0,Mineralbrændstoffer og smøremidler
1016,Estland,2018,24844,Mineralbrændstoffer og smøremidler
1017,Estland,2019,107642,Mineralbrændstoffer og smøremidler
1018,Estland,2020,20432,Mineralbrændstoffer og smøremidler
1019,Estland,2021,21817,Mineralbrændstoffer og smøremidler
1031,Eswantini,2018,0,Mineralbrændstoffer og smøremidler
1032,Eswantini,2019,0,Mineralbrændstoffer og smøremidler
1033,Eswantini,2020,0,Mineralbrændstoffer og smøremidler
1034,Eswantini,2021,0,Mineralbrændstoffer og smøremidler
1046,Etiopien,2018,0,Mineralbrændstoffer og smøremidler
1047,Etiopien,2019,0,Mineralbrændstoffer og smøremidler
1048,Etiopien,2020,0,Mineralbrændstoffer og smøremidler
1049,Etiopien,2021,0,Mineralbrændstoffer og smøremidler
1061,Falklandsøerne,2018,0,Mineralbrændstoffer og smøremidler
1062,Falklandsøerne,2019,0,Mineralbrændstoffer og smøremidler
1063,Falklandsøerne,2020,0,Mineralbrændstoffer og smøremidler
1064,Falklandsøerne,2021,0,Mineralbrændstoffer og smøremidler
1076,Fiji,2018,0,Mineralbrændstoffer og smøremidler
1077,Fiji,2019,0,Mineralbrændstoffer og smøremidler
1078,Fiji,2020,0,Mineralbrændstoffer og smøremidler
1079,Fiji,2021,0,Mineralbrændstoffer og smøremidler
1091,Filippinerne,2018,10512,Mineralbrændstoffer og smøremidler
1092,Filippinerne,2019,10570,Mineralbrændstoffer og smøremidler
1093,Filippinerne,2020,8938,Mineralbrændstoffer og smøremidler
1094,Filippinerne,2021,4224,Mineralbrændstoffer og smøremidler
1106,Finland,2018,611866,Mineralbrændstoffer og smøremidler
1107,Finland,2019,488191,Mineralbrændstoffer og smøremidler
1108,Finland,2020,582538,Mineralbrændstoffer og smøremidler
1109,Finland,2021,740833,Mineralbrændstoffer og smøremidler
1121,Forenede Arabiske Emirater,2018,509599,Mineralbrændstoffer og smøremidler
1122,Forenede Arabiske Emirater,2019,2480765,Mineralbrændstoffer og smøremidler
1123,Forenede Arabiske Emirater,2020,235009,Mineralbrændstoffer og smøremidler
1124,Forenede Arabiske Emirater,2021,90947,Mineralbrændstoffer og smøremidler
1136,Frankrig og Monaco,2018,1275923,Mineralbrændstoffer og smøremidler
1137,Frankrig og Monaco,2019,1388505,Mineralbrændstoffer og smøremidler
1138,Frankrig og Monaco,2020,1441997,Mineralbrændstoffer og smøremidler
1139,Frankrig og Monaco,2021,1660780,Mineralbrændstoffer og smøremidler
1151,Fransk Guyana,2018,0,Mineralbrændstoffer og smøremidler
1152,Fransk Guyana,2019,0,Mineralbrændstoffer og smøremidler
1153,Fransk Guyana,2020,0,Mineralbrændstoffer og smøremidler
1154,Fransk Guyana,2021,0,Mineralbrændstoffer og smøremidler
1166,Fransk Polynesien,2018,0,Mineralbrændstoffer og smøremidler
1167,Fransk Polynesien,2019,0,Mineralbrændstoffer og smøremidler
1168,Fransk Polynesien,2020,0,Mineralbrændstoffer og smøremidler
1169,Fransk Polynesien,2021,0,Mineralbrændstoffer og smøremidler
1181,Franske besiddelser i det sydlige Indiske Ocean,2018,0,Mineralbrændstoffer og smøremidler
1182,Franske besiddelser i det sydlige Indiske Ocean,2019,0,Mineralbrændstoffer og smøremidler
1183,Franske besiddelser i det sydlige Indiske Ocean,2020,0,Mineralbrændstoffer og smøremidler
1184,Franske besiddelser i det sydlige Indiske Ocean,2021,0,Mineralbrændstoffer og smøremidler
1196,Fremmede tropper i Tyskland,2018,0,Mineralbrændstoffer og smøremidler
1197,Fremmede tropper i Tyskland,2019,0,Mineralbrændstoffer og smøremidler
1198,Fremmede tropper i Tyskland,2020,0,Mineralbrændstoffer og smøremidler
1199,Fremmede tropper i Tyskland,2021,0,Mineralbrændstoffer og smøremidler
1211,Færøerne,2018,517,Mineralbrændstoffer og smøremidler
1212,Færøerne,2019,825,Mineralbrændstoffer og smøremidler
1213,Færøerne,2020,943,Mineralbrændstoffer og smøremidler
1214,Færøerne,2021,17146,Mineralbrændstoffer og smøremidler
