,LAND,TID,INDHOLD,SITC
568,Bulgarien,2020,60002,Kemikalier og relaterede produkter
569,Bulgarien,2021,80689,Kemikalier og relaterede produkter
581,Burkina Faso,2018,0,Kemikalier og relaterede produkter
582,Burkina Faso,2019,0,Kemikalier og relaterede produkter
583,Burkina Faso,2020,0,Kemikalier og relaterede produkter
584,Burkina Faso,2021,0,Kemikalier og relaterede produkter
596,Burundi,2018,0,Kemikalier og relaterede produkter
597,Burundi,2019,0,Kemikalier og relaterede produkter
598,Burundi,2020,0,Kemikalier og relaterede produkter
599,Burundi,2021,0,Kemikalier og relaterede produkter
611,Cambodja,2018,1,Kemikalier og relaterede produkter
612,Cambodja,2019,117,Kemikalier og relaterede produkter
613,Cambodja,2020,0,Kemikalier og relaterede produkter
614,Cambodja,2021,73,Kemikalier og relaterede produkter
626,Cameroun,2018,0,Kemikalier og relaterede produkter
627,Cameroun,2019,2,Kemikalier og relaterede produkter
628,Cameroun,2020,111,Kemikalier og relaterede produkter
629,Cameroun,2021,1,Kemikalier og relaterede produkter
641,Canada,2018,98371,Kemikalier og relaterede produkter
642,Canada,2019,58912,Kemikalier og relaterede produkter
643,Canada,2020,39077,Kemikalier og relaterede produkter
644,Canada,2021,56548,Kemikalier og relaterede produkter
656,Caymanøerne,2018,312,Kemikalier og relaterede produkter
657,Caymanøerne,2019,0,Kemikalier og relaterede produkter
658,Caymanøerne,2020,0,Kemikalier og relaterede produkter
659,Caymanøerne,2021,0,Kemikalier og relaterede produkter
671,Centralafrikanske Republik,2018,0,Kemikalier og relaterede produkter
672,Centralafrikanske Republik,2019,0,Kemikalier og relaterede produkter
673,Centralafrikanske Republik,2020,0,Kemikalier og relaterede produkter
674,Centralafrikanske Republik,2021,255,Kemikalier og relaterede produkter
686,Ceuta,2018,0,Kemikalier og relaterede produkter
687,Ceuta,2019,0,Kemikalier og relaterede produkter
688,Ceuta,2020,0,Kemikalier og relaterede produkter
689,Ceuta,2021,0,Kemikalier og relaterede produkter
701,Chile,2018,10114,Kemikalier og relaterede produkter
702,Chile,2019,2472,Kemikalier og relaterede produkter
703,Chile,2020,2716,Kemikalier og relaterede produkter
704,Chile,2021,2058,Kemikalier og relaterede produkter
716,Cocosøerne,2018,0,Kemikalier og relaterede produkter
717,Cocosøerne,2019,0,Kemikalier og relaterede produkter
718,Cocosøerne,2020,0,Kemikalier og relaterede produkter
719,Cocosøerne,2021,0,Kemikalier og relaterede produkter
731,Colombia,2018,86,Kemikalier og relaterede produkter
732,Colombia,2019,677,Kemikalier og relaterede produkter
733,Colombia,2020,109,Kemikalier og relaterede produkter
734,Colombia,2021,10570,Kemikalier og relaterede produkter
746,Comorerne,2018,0,Kemikalier og relaterede produkter
747,Comorerne,2019,0,Kemikalier og relaterede produkter
748,Comorerne,2020,0,Kemikalier og relaterede produkter
749,Comorerne,2021,0,Kemikalier og relaterede produkter
761,"Congo, Demokratiske Republik",2018,0,Kemikalier og relaterede produkter
762,"Congo, Demokratiske Republik",2019,0,Kemikalier og relaterede produkter
763,"Congo, Demokratiske Republik",2020,1,Kemikalier og relaterede produkter
764,"Congo, Demokratiske Republik",2021,2,Kemikalier og relaterede produkter
776,"Congo, Republikken",2018,0,Kemikalier og relaterede produkter
777,"Congo, Republikken",2019,0,Kemikalier og relaterede produkter
778,"Congo, Republikken",2020,0,Kemikalier og relaterede produkter
779,"Congo, Republikken",2021,0,Kemikalier og relaterede produkter
791,Cookøerne,2018,0,Kemikalier og relaterede produkter
792,Cookøerne,2019,0,Kemikalier og relaterede produkter
793,Cookøerne,2020,0,Kemikalier og relaterede produkter
794,Cookøerne,2021,0,Kemikalier og relaterede produkter
806,Costa Rica,2018,33,Kemikalier og relaterede produkter
807,Costa Rica,2019,42,Kemikalier og relaterede produkter
