ID,LAND,TID,INDHOLD,SITC
673,Centralafrikanske Republik,2020,61,Diverse fremstillede varer
674,Centralafrikanske Republik,2021,690,Diverse fremstillede varer
686,Ceuta,2018,0,Diverse fremstillede varer
687,Ceuta,2019,0,Diverse fremstillede varer
688,Ceuta,2020,75,Diverse fremstillede varer
689,Ceuta,2021,0,Diverse fremstillede varer
701,Chile,2018,76552,Diverse fremstillede varer
702,Chile,2019,61697,Diverse fremstillede varer
703,Chile,2020,31183,Diverse fremstillede varer
704,Chile,2021,61879,Diverse fremstillede varer
716,Cocosøerne,2018,0,Diverse fremstillede varer
717,Cocosøerne,2019,0,Diverse fremstillede varer
718,Cocosøerne,2020,0,Diverse fremstillede varer
719,Cocosøerne,2021,0,Diverse fremstillede varer
731,Colombia,2018,20590,Diverse fremstillede varer
732,Colombia,2019,23898,Diverse fremstillede varer
733,Colombia,2020,14730,Diverse fremstillede varer
734,Colombia,2021,28609,Diverse fremstillede varer
746,Comorerne,2018,64,Diverse fremstillede varer
747,Comorerne,2019,0,Diverse fremstillede varer
748,Comorerne,2020,0,Diverse fremstillede varer
749,Comorerne,2021,0,Diverse fremstillede varer
761,"Congo, Demokratiske Republik",2018,8,Diverse fremstillede varer
762,"Congo, Demokratiske Republik",2019,11,Diverse fremstillede varer
763,"Congo, Demokratiske Republik",2020,130,Diverse fremstillede varer
764,"Congo, Demokratiske Republik",2021,6,Diverse fremstillede varer
776,"Congo, Republikken",2018,94,Diverse fremstillede varer
777,"Congo, Republikken",2019,15,Diverse fremstillede varer
778,"Congo, Republikken",2020,141,Diverse fremstillede varer
779,"Congo, Republikken",2021,37,Diverse fremstillede varer
791,Cookøerne,2018,0,Diverse fremstillede varer
792,Cookøerne,2019,0,Diverse fremstillede varer
793,Cookøerne,2020,0,Diverse fremstillede varer
794,Cookøerne,2021,0,Diverse fremstillede varer
806,Costa Rica,2018,3359,Diverse fremstillede varer
807,Costa Rica,2019,3604,Diverse fremstillede varer
808,Costa Rica,2020,5559,Diverse fremstillede varer
809,Costa Rica,2021,4061,Diverse fremstillede varer
821,Cuba,2018,31,Diverse fremstillede varer
822,Cuba,2019,238,Diverse fremstillede varer
823,Cuba,2020,5,Diverse fremstillede varer
824,Cuba,2021,24,Diverse fremstillede varer
836,Curacao,2018,826,Diverse fremstillede varer
837,Curacao,2019,247,Diverse fremstillede varer
838,Curacao,2020,152,Diverse fremstillede varer
839,Curacao,2021,208,Diverse fremstillede varer
851,Cypern,2018,16215,Diverse fremstillede varer
852,Cypern,2019,15315,Diverse fremstillede varer
853,Cypern,2020,9042,Diverse fremstillede varer
854,Cypern,2021,14117,Diverse fremstillede varer
866,DDR,2018,0,Diverse fremstillede varer
867,DDR,2019,0,Diverse fremstillede varer
868,DDR,2020,0,Diverse fremstillede varer
869,DDR,2021,0,Diverse fremstillede varer
881,Diskretioneret,2018,0,Diverse fremstillede varer
882,Diskretioneret,2019,0,Diverse fremstillede varer
883,Diskretioneret,2020,0,Diverse fremstillede varer
884,Diskretioneret,2021,0,Diverse fremstillede varer
896,Djibouti,2018,5,Diverse fremstillede varer
897,Djibouti,2019,204,Diverse fremstillede varer
898,Djibouti,2020,140,Diverse fremstillede varer
899,Djibouti,2021,90,Diverse fremstillede varer
911,Dominica,2018,77,Diverse fremstillede varer
912,Dominica,2019,0,Diverse fremstillede varer
913,Dominica,2020,0,Diverse fremstillede varer
914,Dominica,2021,8,Diverse fremstillede varer
926,Dominikanske Republik,2018,3094,Diverse fremstillede varer
927,Dominikanske Republik,2019,5059,Diverse fremstillede varer
928,Dominikanske Republik,2020,395,Diverse fremstillede varer
929,Dominikanske Republik,2021,1820,Diverse fremstillede varer
941,Ecuador,2018,3290,Diverse fremstillede varer
942,Ecuador,2019,2156,Diverse fremstillede varer
943,Ecuador,2020,1658,Diverse fremstillede varer
944,Ecuador,2021,3749,Diverse fremstillede varer
956,Egypten,2018,18747,Diverse fremstillede varer
957,Egypten,2019,7581,Diverse fremstillede varer
958,Egypten,2020,4227,Diverse fremstillede varer
959,Egypten,2021,3596,Diverse fremstillede varer
971,El Salvador,2018,108,Diverse fremstillede varer
972,El Salvador,2019,386,Diverse fremstillede varer
973,El Salvador,2020,404,Diverse fremstillede varer
974,El Salvador,2021,1016,Diverse fremstillede varer
986,Elfenbenskysten,2018,820,Diverse fremstillede varer
987,Elfenbenskysten,2019,349,Diverse fremstillede varer
988,Elfenbenskysten,2020,1935,Diverse fremstillede varer
989,Elfenbenskysten,2021,1577,Diverse fremstillede varer
1001,Eritrea,2018,0,Diverse fremstillede varer
