ID,LAND,TID,INDHOLD,SITC
1137,Frankrig og Monaco,2019,7284394,Maskiner og transportmidler
1138,Frankrig og Monaco,2020,7195711,Maskiner og transportmidler
1139,Frankrig og Monaco,2021,8358646,Maskiner og transportmidler
1151,Fransk Guyana,2018,0,Maskiner og transportmidler
1152,Fransk Guyana,2019,0,Maskiner og transportmidler
1153,Fransk Guyana,2020,0,Maskiner og transportmidler
1154,Fransk Guyana,2021,0,Maskiner og transportmidler
1166,Fransk Polynesien,2018,4658,Maskiner og transportmidler
1167,Fransk Polynesien,2019,5537,Maskiner og transportmidler
1168,Fransk Polynesien,2020,4150,Maskiner og transportmidler
1169,Fransk Polynesien,2021,2642,Maskiner og transportmidler
1181,Franske besiddelser i det sydlige Indiske Ocean,2018,12643,Maskiner og transportmidler
1182,Franske besiddelser i det sydlige Indiske Ocean,2019,5969,Maskiner og transportmidler
1183,Franske besiddelser i det sydlige Indiske Ocean,2020,4045,Maskiner og transportmidler
1184,Franske besiddelser i det sydlige Indiske Ocean,2021,5871,Maskiner og transportmidler
1196,Fremmede tropper i Tyskland,2018,0,Maskiner og transportmidler
1197,Fremmede tropper i Tyskland,2019,0,Maskiner og transportmidler
1198,Fremmede tropper i Tyskland,2020,0,Maskiner og transportmidler
1199,Fremmede tropper i Tyskland,2021,0,Maskiner og transportmidler
1211,Færøerne,2018,1139446,Maskiner og transportmidler
1212,Færøerne,2019,1426970,Maskiner og transportmidler
1213,Færøerne,2020,1122956,Maskiner og transportmidler
1214,Færøerne,2021,1227250,Maskiner og transportmidler
1226,Gabon,2018,5318,Maskiner og transportmidler
1227,Gabon,2019,5056,Maskiner og transportmidler
1228,Gabon,2020,3719,Maskiner og transportmidler
1229,Gabon,2021,9565,Maskiner og transportmidler
1241,Gambia,2018,8673,Maskiner og transportmidler
1242,Gambia,2019,5255,Maskiner og transportmidler
1243,Gambia,2020,5620,Maskiner og transportmidler
1244,Gambia,2021,6771,Maskiner og transportmidler
1256,Gaza og Jericho,2018,0,Maskiner og transportmidler
1257,Gaza og Jericho,2019,0,Maskiner og transportmidler
1258,Gaza og Jericho,2020,0,Maskiner og transportmidler
1259,Gaza og Jericho,2021,0,Maskiner og transportmidler
1271,Georgien,2018,18195,Maskiner og transportmidler
1272,Georgien,2019,16572,Maskiner og transportmidler
1273,Georgien,2020,15297,Maskiner og transportmidler
1274,Georgien,2021,18875,Maskiner og transportmidler
1286,Ghana,2018,125373,Maskiner og transportmidler
1287,Ghana,2019,151389,Maskiner og transportmidler
1288,Ghana,2020,157890,Maskiner og transportmidler
1289,Ghana,2021,113683,Maskiner og transportmidler
1301,Gibraltar,2018,8452,Maskiner og transportmidler
1302,Gibraltar,2019,7994,Maskiner og transportmidler
1303,Gibraltar,2020,10688,Maskiner og transportmidler
1304,Gibraltar,2021,6917,Maskiner og transportmidler
1316,Grenada,2018,374,Maskiner og transportmidler
1317,Grenada,2019,115,Maskiner og transportmidler
1318,Grenada,2020,20854,Maskiner og transportmidler
1319,Grenada,2021,831,Maskiner og transportmidler
1331,Grækenland,2018,644220,Maskiner og transportmidler
1332,Grækenland,2019,914493,Maskiner og transportmidler
1333,Grækenland,2020,698369,Maskiner og transportmidler
1334,Grækenland,2021,393498,Maskiner og transportmidler
1346,Grønland,2018,796092,Maskiner og transportmidler
1347,Grønland,2019,912530,Maskiner og transportmidler
1348,Grønland,2020,941589,Maskiner og transportmidler
1349,Grønland,2021,1013049,Maskiner og transportmidler
1361,Guadeloupe,2018,0,Maskiner og transportmidler
1362,Guadeloupe,2019,0,Maskiner og transportmidler
1363,Guadeloupe,2020,0,Maskiner og transportmidler
1364,Guadeloupe,2021,0,Maskiner og transportmidler
1376,Guam,2018,1324,Maskiner og transportmidler
1377,Guam,2019,9550,Maskiner og transportmidler
1378,Guam,2020,3034,Maskiner og transportmidler
1379,Guam,2021,5951,Maskiner og transportmidler
1391,Guatemala,2018,37027,Maskiner og transportmidler
1392,Guatemala,2019,34301,Maskiner og transportmidler
1393,Guatemala,2020,22855,Maskiner og transportmidler
1394,Guatemala,2021,31659,Maskiner og transportmidler
1406,Guinea,2018,18256,Maskiner og transportmidler
1407,Guinea,2019,9475,Maskiner og transportmidler
1408,Guinea,2020,7717,Maskiner og transportmidler
1409,Guinea,2021,17884,Maskiner og transportmidler
1421,Guinea-Bissau,2018,2150,Maskiner og transportmidler
1422,Guinea-Bissau,2019,2474,Maskiner og transportmidler
1423,Guinea-Bissau,2020,4268,Maskiner og transportmidler
1424,Guinea-Bissau,2021,5297,Maskiner og transportmidler
1436,Guyana,2018,2513,Maskiner og transportmidler
1437,Guyana,2019,6656,Maskiner og transportmidler
1438,Guyana,2020,22763,Maskiner og transportmidler
1439,Guyana,2021,5780,Maskiner og transportmidler
1451,Haiti,2018,26588,Maskiner og transportmidler
1452,Haiti,2019,4407,Maskiner og transportmidler
1453,Haiti,2020,2232,Maskiner og transportmidler
1454,Haiti,2021,2896,Maskiner og transportmidler
1466,Heard- og McDonaldøerne,2018,0,Maskiner og transportmidler
1467,Heard- og McDonaldøerne,2019,0,Maskiner og transportmidler
1468,Heard- og McDonaldøerne,2020,0,Maskiner og transportmidler
1469,Heard- og McDonaldøerne,2021,0,Maskiner og transportmidler
1481,Honduras,2018,10971,Maskiner og transportmidler
1482,Honduras,2019,17473,Maskiner og transportmidler
1483,Honduras,2020,32188,Maskiner og transportmidler
1484,Honduras,2021,15960,Maskiner og transportmidler
1496,Hongkong,2018,1954199,Maskiner og transportmidler
1497,Hongkong,2019,608763,Maskiner og transportmidler
1498,Hongkong,2020,598719,Maskiner og transportmidler
1499,Hongkong,2021,465895,Maskiner og transportmidler
1511,Indien,2018,1221853,Maskiner og transportmidler
1512,Indien,2019,1451936,Maskiner og transportmidler
1513,Indien,2020,1101005,Maskiner og transportmidler
1514,Indien,2021,1393654,Maskiner og transportmidler
1526,Indonesien,2018,378207,Maskiner og transportmidler
1527,Indonesien,2019,438828,Maskiner og transportmidler
1528,Indonesien,2020,348388,Maskiner og transportmidler
1529,Indonesien,2021,275764,Maskiner og transportmidler
1541,Irak,2018,73094,Maskiner og transportmidler
1542,Irak,2019,111303,Maskiner og transportmidler
1543,Irak,2020,118591,Maskiner og transportmidler
1544,Irak,2021,105624,Maskiner og transportmidler
1556,Iran,2018,253991,Maskiner og transportmidler
1557,Iran,2019,31240,Maskiner og transportmidler
1558,Iran,2020,20982,Maskiner og transportmidler
1559,Iran,2021,21642,Maskiner og transportmidler
1571,Irland,2018,1578145,Maskiner og transportmidler
1572,Irland,2019,1633340,Maskiner og transportmidler
1573,Irland,2020,1477485,Maskiner og transportmidler
1574,Irland,2021,1287280,Maskiner og transportmidler
1586,Island,2018,948687,Maskiner og transportmidler
1587,Island,2019,753971,Maskiner og transportmidler
1588,Island,2020,741657,Maskiner og transportmidler
1589,Island,2021,1365732,Maskiner og transportmidler
1601,Israel,2018,344435,Maskiner og transportmidler
1602,Israel,2019,338020,Maskiner og transportmidler
1603,Israel,2020,352016,Maskiner og transportmidler
1604,Israel,2021,460437,Maskiner og transportmidler
1616,Italien,2018,3920884,Maskiner og transportmidler
1617,Italien,2019,3719834,Maskiner og transportmidler
