ID,LAND,TID,SITC,INDHOLD
611,Cambodja,2018,Maskiner og transportmidler,52100
612,Cambodja,2019,Maskiner og transportmidler,46468
613,Cambodja,2020,Maskiner og transportmidler,42489
614,Cambodja,2021,Maskiner og transportmidler,52073
626,Cameroun,2018,Maskiner og transportmidler,683
627,Cameroun,2019,Maskiner og transportmidler,2396
628,Cameroun,2020,Maskiner og transportmidler,232
629,Cameroun,2021,Maskiner og transportmidler,1485
641,Canada,2018,Maskiner og transportmidler,331909
642,Canada,2019,Maskiner og transportmidler,317688
643,Canada,2020,Maskiner og transportmidler,646834
644,Canada,2021,Maskiner og transportmidler,299931
656,Caymanøerne,2018,Maskiner og transportmidler,0
657,Caymanøerne,2019,Maskiner og transportmidler,2
658,Caymanøerne,2020,Maskiner og transportmidler,10
659,Caymanøerne,2021,Maskiner og transportmidler,0
671,Centralafrikanske Republik,2018,Maskiner og transportmidler,26
672,Centralafrikanske Republik,2019,Maskiner og transportmidler,0
673,Centralafrikanske Republik,2020,Maskiner og transportmidler,2
674,Centralafrikanske Republik,2021,Maskiner og transportmidler,8
686,Ceuta,2018,Maskiner og transportmidler,0
687,Ceuta,2019,Maskiner og transportmidler,0
688,Ceuta,2020,Maskiner og transportmidler,42
689,Ceuta,2021,Maskiner og transportmidler,15
701,Chile,2018,Maskiner og transportmidler,9684
702,Chile,2019,Maskiner og transportmidler,5561
703,Chile,2020,Maskiner og transportmidler,1128
704,Chile,2021,Maskiner og transportmidler,8765
716,Cocosøerne,2018,Maskiner og transportmidler,0
717,Cocosøerne,2019,Maskiner og transportmidler,0
718,Cocosøerne,2020,Maskiner og transportmidler,0
719,Cocosøerne,2021,Maskiner og transportmidler,0
731,Colombia,2018,Maskiner og transportmidler,555
732,Colombia,2019,Maskiner og transportmidler,1448
733,Colombia,2020,Maskiner og transportmidler,802
734,Colombia,2021,Maskiner og transportmidler,3196
746,Comorerne,2018,Maskiner og transportmidler,0
747,Comorerne,2019,Maskiner og transportmidler,0
748,Comorerne,2020,Maskiner og transportmidler,0
749,Comorerne,2021,Maskiner og transportmidler,23
761,"Congo, Demokratiske Republik",2018,Maskiner og transportmidler,0
762,"Congo, Demokratiske Republik",2019,Maskiner og transportmidler,5
763,"Congo, Demokratiske Republik",2020,Maskiner og transportmidler,15
764,"Congo, Demokratiske Republik",2021,Maskiner og transportmidler,31
776,"Congo, Republikken",2018,Maskiner og transportmidler,221
777,"Congo, Republikken",2019,Maskiner og transportmidler,391
778,"Congo, Republikken",2020,Maskiner og transportmidler,52
779,"Congo, Republikken",2021,Maskiner og transportmidler,2023
791,Cookøerne,2018,Maskiner og transportmidler,0
792,Cookøerne,2019,Maskiner og transportmidler,0
793,Cookøerne,2020,Maskiner og transportmidler,75
794,Cookøerne,2021,Maskiner og transportmidler,0
806,Costa Rica,2018,Maskiner og transportmidler,1679
807,Costa Rica,2019,Maskiner og transportmidler,1284
808,Costa Rica,2020,Maskiner og transportmidler,1058
809,Costa Rica,2021,Maskiner og transportmidler,1466
821,Cuba,2018,Maskiner og transportmidler,2
822,Cuba,2019,Maskiner og transportmidler,30
823,Cuba,2020,Maskiner og transportmidler,180
824,Cuba,2021,Maskiner og transportmidler,407
836,Curacao,2018,Maskiner og transportmidler,0
837,Curacao,2019,Maskiner og transportmidler,11
838,Curacao,2020,Maskiner og transportmidler,4
839,Curacao,2021,Maskiner og transportmidler,1161
851,Cypern,2018,Maskiner og transportmidler,134986
852,Cypern,2019,Maskiner og transportmidler,754454
853,Cypern,2020,Maskiner og transportmidler,151113
854,Cypern,2021,Maskiner og transportmidler,14756
866,DDR,2018,Maskiner og transportmidler,0
867,DDR,2019,Maskiner og transportmidler,0
868,DDR,2020,Maskiner og transportmidler,0
869,DDR,2021,Maskiner og transportmidler,0
881,Diskretioneret,2018,Maskiner og transportmidler,0
882,Diskretioneret,2019,Maskiner og transportmidler,0
883,Diskretioneret,2020,Maskiner og transportmidler,0
884,Diskretioneret,2021,Maskiner og transportmidler,0
896,Djibouti,2018,Maskiner og transportmidler,31
897,Djibouti,2019,Maskiner og transportmidler,16
898,Djibouti,2020,Maskiner og transportmidler,27
899,Djibouti,2021,Maskiner og transportmidler,384
911,Dominica,2018,Maskiner og transportmidler,2
912,Dominica,2019,Maskiner og transportmidler,2
913,Dominica,2020,Maskiner og transportmidler,0
914,Dominica,2021,Maskiner og transportmidler,10
926,Dominikanske Republik,2018,Maskiner og transportmidler,1975
927,Dominikanske Republik,2019,Maskiner og transportmidler,488
928,Dominikanske Republik,2020,Maskiner og transportmidler,145
929,Dominikanske Republik,2021,Maskiner og transportmidler,2042
941,Ecuador,2018,Maskiner og transportmidler,681
942,Ecuador,2019,Maskiner og transportmidler,84
943,Ecuador,2020,Maskiner og transportmidler,100
944,Ecuador,2021,Maskiner og transportmidler,401
956,Egypten,2018,Maskiner og transportmidler,3870
957,Egypten,2019,Maskiner og transportmidler,3099
958,Egypten,2020,Maskiner og transportmidler,2614
959,Egypten,2021,Maskiner og transportmidler,13926
971,El Salvador,2018,Maskiner og transportmidler,476
972,El Salvador,2019,Maskiner og transportmidler,92
973,El Salvador,2020,Maskiner og transportmidler,122
974,El Salvador,2021,Maskiner og transportmidler,366
986,Elfenbenskysten,2018,Maskiner og transportmidler,652
987,Elfenbenskysten,2019,Maskiner og transportmidler,48
988,Elfenbenskysten,2020,Maskiner og transportmidler,1803
989,Elfenbenskysten,2021,Maskiner og transportmidler,1261
1001,Eritrea,2018,Maskiner og transportmidler,13
