,LAND,TID,SITC,INDHOLD
3853,Vestindiske Øer,2020,Diverse fremstillede varer,0
3854,Vestindiske Øer,2021,Diverse fremstillede varer,0
3866,Vestsahara,2018,Diverse fremstillede varer,0
3867,Vestsahara,2019,Diverse fremstillede varer,0
3868,Vestsahara,2020,Diverse fremstillede varer,0
3869,Vestsahara,2021,Diverse fremstillede varer,0
3881,Vietnam,2018,Diverse fremstillede varer,504990
3882,Vietnam,2019,Diverse fremstillede varer,583494
3883,Vietnam,2020,Diverse fremstillede varer,553579
3884,Vietnam,2021,Diverse fremstillede varer,635674
3896,Wallis og Futuna,2018,Diverse fremstillede varer,0
3897,Wallis og Futuna,2019,Diverse fremstillede varer,0
3898,Wallis og Futuna,2020,Diverse fremstillede varer,0
3899,Wallis og Futuna,2021,Diverse fremstillede varer,0
3911,Yemen,2018,Diverse fremstillede varer,0
3912,Yemen,2019,Diverse fremstillede varer,0
3913,Yemen,2020,Diverse fremstillede varer,0
3914,Yemen,2021,Diverse fremstillede varer,0
3926,Zambia,2018,Diverse fremstillede varer,0
3927,Zambia,2019,Diverse fremstillede varer,3
3928,Zambia,2020,Diverse fremstillede varer,0
3929,Zambia,2021,Diverse fremstillede varer,5
3941,Zimbabwe,2018,Diverse fremstillede varer,194
3942,Zimbabwe,2019,Diverse fremstillede varer,231
3943,Zimbabwe,2020,Diverse fremstillede varer,144
3944,Zimbabwe,2021,Diverse fremstillede varer,101
3956,Ækvatorialguinea,2018,Diverse fremstillede varer,0
3957,Ækvatorialguinea,2019,Diverse fremstillede varer,0
3958,Ækvatorialguinea,2020,Diverse fremstillede varer,0
3959,Ækvatorialguinea,2021,Diverse fremstillede varer,0
3971,Østrig,2018,Diverse fremstillede varer,290576
3972,Østrig,2019,Diverse fremstillede varer,299481
3973,Østrig,2020,Diverse fremstillede varer,288586
3974,Østrig,2021,Diverse fremstillede varer,374296
3986,Østtimor,2018,Diverse fremstillede varer,0
3987,Østtimor,2019,Diverse fremstillede varer,0
3988,Østtimor,2020,Diverse fremstillede varer,0
3989,Østtimor,2021,Diverse fremstillede varer,0
