,LAND,TID,SITC,INDHOLD
613,Cambodja,2020,Diverse fremstillede varer,3089
614,Cambodja,2021,Diverse fremstillede varer,4651
626,Cameroun,2018,Diverse fremstillede varer,179
627,Cameroun,2019,Diverse fremstillede varer,161
628,Cameroun,2020,Diverse fremstillede varer,6
629,Cameroun,2021,Diverse fremstillede varer,336
641,Canada,2018,Diverse fremstillede varer,14283
642,Canada,2019,Diverse fremstillede varer,8825
643,Canada,2020,Diverse fremstillede varer,5699
644,Canada,2021,Diverse fremstillede varer,8528
656,Caymanøerne,2018,Diverse fremstillede varer,0
657,Caymanøerne,2019,Diverse fremstillede varer,0
658,Caymanøerne,2020,Diverse fremstillede varer,0
659,Caymanøerne,2021,Diverse fremstillede varer,0
671,Centralafrikanske Republik,2018,Diverse fremstillede varer,0
672,Centralafrikanske Republik,2019,Diverse fremstillede varer,0
673,Centralafrikanske Republik,2020,Diverse fremstillede varer,0
674,Centralafrikanske Republik,2021,Diverse fremstillede varer,9
686,Ceuta,2018,Diverse fremstillede varer,0
687,Ceuta,2019,Diverse fremstillede varer,0
688,Ceuta,2020,Diverse fremstillede varer,0
689,Ceuta,2021,Diverse fremstillede varer,0
701,Chile,2018,Diverse fremstillede varer,99440
702,Chile,2019,Diverse fremstillede varer,90978
703,Chile,2020,Diverse fremstillede varer,102360
704,Chile,2021,Diverse fremstillede varer,96480
716,Cocosøerne,2018,Diverse fremstillede varer,0
717,Cocosøerne,2019,Diverse fremstillede varer,0
718,Cocosøerne,2020,Diverse fremstillede varer,0
719,Cocosøerne,2021,Diverse fremstillede varer,0
731,Colombia,2018,Diverse fremstillede varer,107
732,Colombia,2019,Diverse fremstillede varer,176
733,Colombia,2020,Diverse fremstillede varer,563
734,Colombia,2021,Diverse fremstillede varer,37
746,Comorerne,2018,Diverse fremstillede varer,0
747,Comorerne,2019,Diverse fremstillede varer,0
748,Comorerne,2020,Diverse fremstillede varer,0
749,Comorerne,2021,Diverse fremstillede varer,0
761,"Congo, Demokratiske Republik",2018,Diverse fremstillede varer,0
762,"Congo, Demokratiske Republik",2019,Diverse fremstillede varer,21
763,"Congo, Demokratiske Republik",2020,Diverse fremstillede varer,0
764,"Congo, Demokratiske Republik",2021,Diverse fremstillede varer,3
776,"Congo, Republikken",2018,Diverse fremstillede varer,0
777,"Congo, Republikken",2019,Diverse fremstillede varer,348
778,"Congo, Republikken",2020,Diverse fremstillede varer,5
779,"Congo, Republikken",2021,Diverse fremstillede varer,0
791,Cookøerne,2018,Diverse fremstillede varer,0
792,Cookøerne,2019,Diverse fremstillede varer,115
793,Cookøerne,2020,Diverse fremstillede varer,0
794,Cookøerne,2021,Diverse fremstillede varer,0
806,Costa Rica,2018,Diverse fremstillede varer,0
807,Costa Rica,2019,Diverse fremstillede varer,0
808,Costa Rica,2020,Diverse fremstillede varer,4
809,Costa Rica,2021,Diverse fremstillede varer,0
821,Cuba,2018,Diverse fremstillede varer,0
822,Cuba,2019,Diverse fremstillede varer,0
823,Cuba,2020,Diverse fremstillede varer,0
824,Cuba,2021,Diverse fremstillede varer,0
836,Curacao,2018,Diverse fremstillede varer,0
837,Curacao,2019,Diverse fremstillede varer,0
838,Curacao,2020,Diverse fremstillede varer,0
839,Curacao,2021,Diverse fremstillede varer,64
851,Cypern,2018,Diverse fremstillede varer,760
852,Cypern,2019,Diverse fremstillede varer,349
853,Cypern,2020,Diverse fremstillede varer,1670
854,Cypern,2021,Diverse fremstillede varer,1371
866,DDR,2018,Diverse fremstillede varer,0
867,DDR,2019,Diverse fremstillede varer,0
868,DDR,2020,Diverse fremstillede varer,0
869,DDR,2021,Diverse fremstillede varer,0
881,Diskretioneret,2018,Diverse fremstillede varer,0
882,Diskretioneret,2019,Diverse fremstillede varer,0
883,Diskretioneret,2020,Diverse fremstillede varer,0
884,Diskretioneret,2021,Diverse fremstillede varer,0
896,Djibouti,2018,Diverse fremstillede varer,0
897,Djibouti,2019,Diverse fremstillede varer,0
898,Djibouti,2020,Diverse fremstillede varer,0
899,Djibouti,2021,Diverse fremstillede varer,0
911,Dominica,2018,Diverse fremstillede varer,0
912,Dominica,2019,Diverse fremstillede varer,5
913,Dominica,2020,Diverse fremstillede varer,0
914,Dominica,2021,Diverse fremstillede varer,0
926,Dominikanske Republik,2018,Diverse fremstillede varer,44
927,Dominikanske Republik,2019,Diverse fremstillede varer,1264
928,Dominikanske Republik,2020,Diverse fremstillede varer,308
929,Dominikanske Republik,2021,Diverse fremstillede varer,38
941,Ecuador,2018,Diverse fremstillede varer,47944
942,Ecuador,2019,Diverse fremstillede varer,38368
943,Ecuador,2020,Diverse fremstillede varer,80629
944,Ecuador,2021,Diverse fremstillede varer,32160
956,Egypten,2018,Diverse fremstillede varer,36248
957,Egypten,2019,Diverse fremstillede varer,27129
958,Egypten,2020,Diverse fremstillede varer,18983
959,Egypten,2021,Diverse fremstillede varer,17657
971,El Salvador,2018,Diverse fremstillede varer,103
972,El Salvador,2019,Diverse fremstillede varer,319
973,El Salvador,2020,Diverse fremstillede varer,60
974,El Salvador,2021,Diverse fremstillede varer,105
986,Elfenbenskysten,2018,Diverse fremstillede varer,6061
987,Elfenbenskysten,2019,Diverse fremstillede varer,5898
988,Elfenbenskysten,2020,Diverse fremstillede varer,4933
989,Elfenbenskysten,2021,Diverse fremstillede varer,5150
1001,Eritrea,2018,Diverse fremstillede varer,0
1002,Eritrea,2019,Diverse fremstillede varer,0
1003,Eritrea,2020,Diverse fremstillede varer,0
1004,Eritrea,2021,Diverse fremstillede varer,0
1016,Estland,2018,Diverse fremstillede varer,709455
1017,Estland,2019,Diverse fremstillede varer,704375
1018,Estland,2020,Diverse fremstillede varer,703164
1019,Estland,2021,Diverse fremstillede varer,719985
1031,Eswantini,2018,Diverse fremstillede varer,0
1032,Eswantini,2019,Diverse fremstillede varer,0
1033,Eswantini,2020,Diverse fremstillede varer,0
1034,Eswantini,2021,Diverse fremstillede varer,0
1046,Etiopien,2018,Diverse fremstillede varer,15
1047,Etiopien,2019,Diverse fremstillede varer,14
1048,Etiopien,2020,Diverse fremstillede varer,18
1049,Etiopien,2021,Diverse fremstillede varer,45
1061,Falklandsøerne,2018,Diverse fremstillede varer,0
1062,Falklandsøerne,2019,Diverse fremstillede varer,0
1063,Falklandsøerne,2020,Diverse fremstillede varer,0
1064,Falklandsøerne,2021,Diverse fremstillede varer,0
1076,Fiji,2018,Diverse fremstillede varer,102
1077,Fiji,2019,Diverse fremstillede varer,49
1078,Fiji,2020,Diverse fremstillede varer,33
1079,Fiji,2021,Diverse fremstillede varer,143
1091,Filippinerne,2018,Diverse fremstillede varer,8427
1092,Filippinerne,2019,Diverse fremstillede varer,7796
1093,Filippinerne,2020,Diverse fremstillede varer,6436
1094,Filippinerne,2021,Diverse fremstillede varer,5948
1106,Finland,2018,Diverse fremstillede varer,391823
1107,Finland,2019,Diverse fremstillede varer,297419
1108,Finland,2020,Diverse fremstillede varer,283753
1109,Finland,2021,Diverse fremstillede varer,405462
1121,Forenede Arabiske Emirater,2018,Diverse fremstillede varer,3232
1122,Forenede Arabiske Emirater,2019,Diverse fremstillede varer,3772
1123,Forenede Arabiske Emirater,2020,Diverse fremstillede varer,3157
1124,Forenede Arabiske Emirater,2021,Diverse fremstillede varer,5579
1136,Frankrig og Monaco,2018,Diverse fremstillede varer,271868
1137,Frankrig og Monaco,2019,Diverse fremstillede varer,312514
1138,Frankrig og Monaco,2020,Diverse fremstillede varer,364168
1139,Frankrig og Monaco,2021,Diverse fremstillede varer,456252
1151,Fransk Guyana,2018,Diverse fremstillede varer,0
1152,Fransk Guyana,2019,Diverse fremstillede varer,0
1153,Fransk Guyana,2020,Diverse fremstillede varer,0
1154,Fransk Guyana,2021,Diverse fremstillede varer,0
1166,Fransk Polynesien,2018,Diverse fremstillede varer,0
1167,Fransk Polynesien,2019,Diverse fremstillede varer,0
1168,Fransk Polynesien,2020,Diverse fremstillede varer,0
1169,Fransk Polynesien,2021,Diverse fremstillede varer,0
1181,Franske besiddelser i det sydlige Indiske Ocean,2018,Diverse fremstillede varer,0
1182,Franske besiddelser i det sydlige Indiske Ocean,2019,Diverse fremstillede varer,0
1183,Franske besiddelser i det sydlige Indiske Ocean,2020,Diverse fremstillede varer,1
1184,Franske besiddelser i det sydlige Indiske Ocean,2021,Diverse fremstillede varer,1
1196,Fremmede tropper i Tyskland,2018,Diverse fremstillede varer,0
1197,Fremmede tropper i Tyskland,2019,Diverse fremstillede varer,0
1198,Fremmede tropper i Tyskland,2020,Diverse fremstillede varer,0
1199,Fremmede tropper i Tyskland,2021,Diverse fremstillede varer,0
1211,Færøerne,2018,Diverse fremstillede varer,343
1212,Færøerne,2019,Diverse fremstillede varer,982
1213,Færøerne,2020,Diverse fremstillede varer,1351
1214,Færøerne,2021,Diverse fremstillede varer,2010
1226,Gabon,2018,Diverse fremstillede varer,346
1227,Gabon,2019,Diverse fremstillede varer,334
1228,Gabon,2020,Diverse fremstillede varer,0
1229,Gabon,2021,Diverse fremstillede varer,0
1241,Gambia,2018,Diverse fremstillede varer,0
1242,Gambia,2019,Diverse fremstillede varer,0
1243,Gambia,2020,Diverse fremstillede varer,3
1244,Gambia,2021,Diverse fremstillede varer,0
1256,Gaza og Jericho,2018,Diverse fremstillede varer,0
1257,Gaza og Jericho,2019,Diverse fremstillede varer,0
1258,Gaza og Jericho,2020,Diverse fremstillede varer,0
1259,Gaza og Jericho,2021,Diverse fremstillede varer,0
1271,Georgien,2018,Diverse fremstillede varer,0
1272,Georgien,2019,Diverse fremstillede varer,0
1273,Georgien,2020,Diverse fremstillede varer,3
