,LAND,TID,INDHOLD,SITC
508,Britisk Oceanien,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
509,Britisk Oceanien,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
521,Britiske Jomfruøer,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
522,Britiske Jomfruøer,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
523,Britiske Jomfruøer,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
524,Britiske Jomfruøer,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
536,Britiske territorium i det Indiske Ocean,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
537,Britiske territorium i det Indiske Ocean,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
538,Britiske territorium i det Indiske Ocean,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
539,Britiske territorium i det Indiske Ocean,2021,322,"levende dyr, fødevarer, drikkevarer og tobak"
551,Brunei,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
552,Brunei,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
553,Brunei,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
554,Brunei,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
566,Bulgarien,2018,87783,"levende dyr, fødevarer, drikkevarer og tobak"
567,Bulgarien,2019,74940,"levende dyr, fødevarer, drikkevarer og tobak"
568,Bulgarien,2020,91130,"levende dyr, fødevarer, drikkevarer og tobak"
569,Bulgarien,2021,138330,"levende dyr, fødevarer, drikkevarer og tobak"
581,Burkina Faso,2018,106469,"levende dyr, fødevarer, drikkevarer og tobak"
582,Burkina Faso,2019,185064,"levende dyr, fødevarer, drikkevarer og tobak"
583,Burkina Faso,2020,177190,"levende dyr, fødevarer, drikkevarer og tobak"
584,Burkina Faso,2021,109499,"levende dyr, fødevarer, drikkevarer og tobak"
596,Burundi,2018,1434,"levende dyr, fødevarer, drikkevarer og tobak"
597,Burundi,2019,8648,"levende dyr, fødevarer, drikkevarer og tobak"
598,Burundi,2020,11061,"levende dyr, fødevarer, drikkevarer og tobak"
599,Burundi,2021,6004,"levende dyr, fødevarer, drikkevarer og tobak"
611,Cambodja,2018,26786,"levende dyr, fødevarer, drikkevarer og tobak"
612,Cambodja,2019,33327,"levende dyr, fødevarer, drikkevarer og tobak"
613,Cambodja,2020,25415,"levende dyr, fødevarer, drikkevarer og tobak"
614,Cambodja,2021,20832,"levende dyr, fødevarer, drikkevarer og tobak"
626,Cameroun,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
627,Cameroun,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
628,Cameroun,2020,2098,"levende dyr, fødevarer, drikkevarer og tobak"
629,Cameroun,2021,1452,"levende dyr, fødevarer, drikkevarer og tobak"
641,Canada,2018,977911,"levende dyr, fødevarer, drikkevarer og tobak"
642,Canada,2019,1018821,"levende dyr, fødevarer, drikkevarer og tobak"
643,Canada,2020,805947,"levende dyr, fødevarer, drikkevarer og tobak"
644,Canada,2021,874882,"levende dyr, fødevarer, drikkevarer og tobak"
656,Caymanøerne,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
657,Caymanøerne,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
658,Caymanøerne,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
659,Caymanøerne,2021,44,"levende dyr, fødevarer, drikkevarer og tobak"
671,Centralafrikanske Republik,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
672,Centralafrikanske Republik,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
673,Centralafrikanske Republik,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
674,Centralafrikanske Republik,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
686,Ceuta,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
687,Ceuta,2019,1,"levende dyr, fødevarer, drikkevarer og tobak"
688,Ceuta,2020,1,"levende dyr, fødevarer, drikkevarer og tobak"
689,Ceuta,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
701,Chile,2018,693429,"levende dyr, fødevarer, drikkevarer og tobak"
702,Chile,2019,951135,"levende dyr, fødevarer, drikkevarer og tobak"
703,Chile,2020,848759,"levende dyr, fødevarer, drikkevarer og tobak"
704,Chile,2021,630842,"levende dyr, fødevarer, drikkevarer og tobak"
716,Cocosøerne,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
717,Cocosøerne,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
718,Cocosøerne,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
719,Cocosøerne,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
731,Colombia,2018,81514,"levende dyr, fødevarer, drikkevarer og tobak"
732,Colombia,2019,80607,"levende dyr, fødevarer, drikkevarer og tobak"
733,Colombia,2020,61757,"levende dyr, fødevarer, drikkevarer og tobak"
734,Colombia,2021,78776,"levende dyr, fødevarer, drikkevarer og tobak"
746,Comorerne,2018,344,"levende dyr, fødevarer, drikkevarer og tobak"
747,Comorerne,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
748,Comorerne,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
749,Comorerne,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
761,"Congo, Demokratiske Republik",2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
762,"Congo, Demokratiske Republik",2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
763,"Congo, Demokratiske Republik",2020,1039,"levende dyr, fødevarer, drikkevarer og tobak"
764,"Congo, Demokratiske Republik",2021,1,"levende dyr, fødevarer, drikkevarer og tobak"
776,"Congo, Republikken",2018,470,"levende dyr, fødevarer, drikkevarer og tobak"
777,"Congo, Republikken",2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
778,"Congo, Republikken",2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
779,"Congo, Republikken",2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
791,Cookøerne,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
792,Cookøerne,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
793,Cookøerne,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
794,Cookøerne,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
806,Costa Rica,2018,23237,"levende dyr, fødevarer, drikkevarer og tobak"
807,Costa Rica,2019,10957,"levende dyr, fødevarer, drikkevarer og tobak"
808,Costa Rica,2020,11440,"levende dyr, fødevarer, drikkevarer og tobak"
809,Costa Rica,2021,28145,"levende dyr, fødevarer, drikkevarer og tobak"
821,Cuba,2018,1518,"levende dyr, fødevarer, drikkevarer og tobak"
822,Cuba,2019,182,"levende dyr, fødevarer, drikkevarer og tobak"
823,Cuba,2020,377,"levende dyr, fødevarer, drikkevarer og tobak"
824,Cuba,2021,19,"levende dyr, fødevarer, drikkevarer og tobak"
836,Curacao,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
837,Curacao,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
838,Curacao,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
839,Curacao,2021,211,"levende dyr, fødevarer, drikkevarer og tobak"
851,Cypern,2018,65862,"levende dyr, fødevarer, drikkevarer og tobak"
852,Cypern,2019,81562,"levende dyr, fødevarer, drikkevarer og tobak"
853,Cypern,2020,93627,"levende dyr, fødevarer, drikkevarer og tobak"
854,Cypern,2021,92059,"levende dyr, fødevarer, drikkevarer og tobak"
866,DDR,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
867,DDR,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
868,DDR,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
869,DDR,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
881,Diskretioneret,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
882,Diskretioneret,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
883,Diskretioneret,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
884,Diskretioneret,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
896,Djibouti,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
897,Djibouti,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
898,Djibouti,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
899,Djibouti,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
911,Dominica,2018,0,"levende dyr, fødevarer, drikkevarer og tobak"
912,Dominica,2019,0,"levende dyr, fødevarer, drikkevarer og tobak"
913,Dominica,2020,0,"levende dyr, fødevarer, drikkevarer og tobak"
914,Dominica,2021,0,"levende dyr, fødevarer, drikkevarer og tobak"
926,Dominikanske Republik,2018,72600,"levende dyr, fødevarer, drikkevarer og tobak"
927,Dominikanske Republik,2019,25433,"levende dyr, fødevarer, drikkevarer og tobak"
928,Dominikanske Republik,2020,45217,"levende dyr, fødevarer, drikkevarer og tobak"
929,Dominikanske Republik,2021,41597,"levende dyr, fødevarer, drikkevarer og tobak"
941,Ecuador,2018,48135,"levende dyr, fødevarer, drikkevarer og tobak"
942,Ecuador,2019,30807,"levende dyr, fødevarer, drikkevarer og tobak"
943,Ecuador,2020,68466,"levende dyr, fødevarer, drikkevarer og tobak"
944,Ecuador,2021,95546,"levende dyr, fødevarer, drikkevarer og tobak"
956,Egypten,2018,27581,"levende dyr, fødevarer, drikkevarer og tobak"
957,Egypten,2019,36199,"levende dyr, fødevarer, drikkevarer og tobak"
958,Egypten,2020,30782,"levende dyr, fødevarer, drikkevarer og tobak"
959,Egypten,2021,50252,"levende dyr, fødevarer, drikkevarer og tobak"
971,El Salvador,2018,4660,"levende dyr, fødevarer, drikkevarer og tobak"
972,El Salvador,2019,15122,"levende dyr, fødevarer, drikkevarer og tobak"
