ID,LAND,TID,SITC,INDHOLD
173,United Kingdom,2018,Diverse fremstillede varer,0
174,United Kingdom,2019,Diverse fremstillede varer,0
175,United Kingdom,2020,Diverse fremstillede varer,0
176,United Kingdom,2021,Diverse fremstillede varer,0
177,Central African Rep.,2018,Diverse fremstillede varer,0
178,Central African Rep.,2019,Diverse fremstillede varer,0
179,Central African Rep.,2020,Diverse fremstillede varer,0
180,Central African Rep.,2021,Diverse fremstillede varer,9
181,Ceuta,2018,Diverse fremstillede varer,0
182,Ceuta,2019,Diverse fremstillede varer,0
183,Ceuta,2020,Diverse fremstillede varer,0
184,Ceuta,2021,Diverse fremstillede varer,0
185,Chile,2018,Diverse fremstillede varer,99440
186,Chile,2019,Diverse fremstillede varer,90978
187,Chile,2020,Diverse fremstillede varer,102360
188,Chile,2021,Diverse fremstillede varer,96480
189,Vatican City State,2018,Diverse fremstillede varer,0
190,Vatican City State,2019,Diverse fremstillede varer,0
191,Vatican City State,2020,Diverse fremstillede varer,0
192,Vatican City State,2021,Diverse fremstillede varer,0
193,Colombia,2018,Diverse fremstillede varer,107
194,Colombia,2019,Diverse fremstillede varer,176
195,Colombia,2020,Diverse fremstillede varer,563
196,Colombia,2021,Diverse fremstillede varer,37
197,Colombia,2018,Diverse fremstillede varer,0
198,Colombia,2019,Diverse fremstillede varer,0
199,Colombia,2020,Diverse fremstillede varer,0
200,Colombia,2021,Diverse fremstillede varer,0
201,Congo,2018,Diverse fremstillede varer,0
202,Congo,2019,Diverse fremstillede varer,21
203,Congo,2020,Diverse fremstillede varer,0
204,Congo,2021,Diverse fremstillede varer,3
205,Dem. Rep. Congo,2018,Diverse fremstillede varer,0
206,Dem. Rep. Congo,2019,Diverse fremstillede varer,348
207,Dem. Rep. Congo,2020,Diverse fremstillede varer,5
208,Dem. Rep. Congo,2021,Diverse fremstillede varer,0
209,Costa Rica,2018,Diverse fremstillede varer,0
210,Costa Rica,2019,Diverse fremstillede varer,115
211,Costa Rica,2020,Diverse fremstillede varer,0
212,Costa Rica,2021,Diverse fremstillede varer,0
213,Costa Rica,2018,Diverse fremstillede varer,0
214,Costa Rica,2019,Diverse fremstillede varer,0
215,Costa Rica,2020,Diverse fremstillede varer,4
216,Costa Rica,2021,Diverse fremstillede varer,0
217,Cuba,2018,Diverse fremstillede varer,0
218,Cuba,2019,Diverse fremstillede varer,0
219,Cuba,2020,Diverse fremstillede varer,0
220,Cuba,2021,Diverse fremstillede varer,0
221,Curacao,2018,Diverse fremstillede varer,0
222,Curacao,2019,Diverse fremstillede varer,0
223,Curacao,2020,Diverse fremstillede varer,0
224,Curacao,2021,Diverse fremstillede varer,64
225,Cyprus,2018,Diverse fremstillede varer,760
226,Cyprus,2019,Diverse fremstillede varer,349
227,Cyprus,2020,Diverse fremstillede varer,1670
228,Cyprus,2021,Diverse fremstillede varer,1371
229,Dem. Rep. Congo,2018,Diverse fremstillede varer,0
230,Dem. Rep. Congo,2019,Diverse fremstillede varer,0
231,Dem. Rep. Congo,2020,Diverse fremstillede varer,0
232,Dem. Rep. Congo,2021,Diverse fremstillede varer,0
233,Dem. Rep. Congo,2018,Diverse fremstillede varer,0
234,Dem. Rep. Congo,2019,Diverse fremstillede varer,0
